"from","to","target","source"
"Amitabh Bachchan","Seema Biswas",48,1
"Amitabh Bachchan","Zeenat Aman",49,1
"Amitabh Bachchan","Boman Irani",162,1
"Gulshan Grover","Jackie Shroff",44,43
"Gulshan Grover","Javed Jaffrey",45,43
"Gulshan Grover","Katrina Kaif",42,43
"Gulshan Grover","Madhu Sapre",46,43
"Gulshan Grover","Padma Lakshmi",47,43
"Gulshan Grover","Seema Biswas",48,43
"Gulshan Grover","Zeenat Aman",49,43
"Gulshan Grover","Boman Irani",162,43
"Jackie Shroff","Javed Jaffrey",45,44
"Jackie Shroff","Katrina Kaif",42,44
"Jackie Shroff","Madhu Sapre",46,44
"Jackie Shroff","Padma Lakshmi",47,44
"Jackie Shroff","Seema Biswas",48,44
"Jackie Shroff","Zeenat Aman",49,44
"Jackie Shroff","Boman Irani",162,44
"Javed Jaffrey","Katrina Kaif",42,45
"Javed Jaffrey","Madhu Sapre",46,45
"Javed Jaffrey","Padma Lakshmi",47,45
"Javed Jaffrey","Seema Biswas",48,45
"Javed Jaffrey","Zeenat Aman",49,45
"Javed Jaffrey","Boman Irani",162,45
"Katrina Kaif","Madhu Sapre",46,42
"Katrina Kaif","Padma Lakshmi",47,42
"Katrina Kaif","Seema Biswas",48,42
"Katrina Kaif","Zeenat Aman",49,42
"Katrina Kaif","Boman Irani",162,42
"Madhu Sapre","Padma Lakshmi",47,46
"Madhu Sapre","Seema Biswas",48,46
"Madhu Sapre","Zeenat Aman",49,46
"Madhu Sapre","Boman Irani",162,46
"Padma Lakshmi","Seema Biswas",48,47
"Padma Lakshmi","Zeenat Aman",49,47
"Padma Lakshmi","Boman Irani",162,47
"Seema Biswas","Zeenat Aman",49,48
"Seema Biswas","Boman Irani",162,48
"Zeenat Aman","Boman Irani",162,49
"Dharmendra","Sharmila Tagore",51,50
"Dharmendra","Amitabh Bachchan",1,50
"Dharmendra","Jaya Bhaduri",52,50
"Dharmendra","Om Prakash",53,50
"Dharmendra","Asrani",54,50
"Dharmendra","David Abraham",55,50
"Dharmendra","Usha Kiran",56,50
"Dharmendra","Lily Chakravarty",57,50
"Dharmendra","Keshto Mukherjee",163,50
"Sharmila Tagore","Amitabh Bachchan",1,51
"Sharmila Tagore","Jaya Bhaduri",52,51
"Sharmila Tagore","Om Prakash",53,51
"Sharmila Tagore","Asrani",54,51
"Sharmila Tagore","David Abraham",55,51
"Sharmila Tagore","Usha Kiran",56,51
"Sharmila Tagore","Lily Chakravarty",57,51
"Sharmila Tagore","Keshto Mukherjee",163,51
"Amitabh Bachchan","Jaya Bhaduri",52,1
"Amitabh Bachchan","Om Prakash",53,1
"Amitabh Bachchan","Asrani",54,1
"Amitabh Bachchan","David Abraham",55,1
"Amitabh Bachchan","Usha Kiran",56,1
"Amitabh Bachchan","Lily Chakravarty",57,1
"Amitabh Bachchan","Keshto Mukherjee",163,1
"Jaya Bhaduri","Om Prakash",53,52
"Jaya Bhaduri","Asrani",54,52
"Jaya Bhaduri","David Abraham",55,52
"Jaya Bhaduri","Usha Kiran",56,52
"Jaya Bhaduri","Lily Chakravarty",57,52
"Jaya Bhaduri","Keshto Mukherjee",163,52
"Om Prakash","Asrani",54,53
"Om Prakash","David Abraham",55,53
"Om Prakash","Usha Kiran",56,53
"Om Prakash","Lily Chakravarty",57,53
