"from","to","target","source"
"Asami Seto","Atsushi Goto",25,19
"Asami Seto","Toshiyuki Morikawa",26,19
"Asami Seto","Kaito Ishikawa",27,19
"Asami Seto","Satomi Sato",28,19
"Asami Seto","Yu Kitada",29,19
"Asami Seto","Mitsuki Saiga",30,19
"Asami Seto","Kazuya Nakai",31,19
"Asami Seto","Nozomi Kameda",32,19
"Asami Seto","Makoto Awane",190,19
"Hiroki Touchi","Minoru Inaba",21,20
"Hiroki Touchi","Ami Koshimizu",22,20
"Hiroki Touchi","Toshiyuki Toyonaga",23,20
"Hiroki Touchi","Shintaro Tanaka",24,20
"Hiroki Touchi","Atsushi Goto",25,20
"Hiroki Touchi","Toshiyuki Morikawa",26,20
"Hiroki Touchi","Kaito Ishikawa",27,20
"Hiroki Touchi","Satomi Sato",28,20
"Hiroki Touchi","Yu Kitada",29,20
"Hiroki Touchi","Mitsuki Saiga",30,20
"Hiroki Touchi","Kazuya Nakai",31,20
"Hiroki Touchi","Nozomi Kameda",32,20
"Hiroki Touchi","Makoto Awane",190,20
"Minoru Inaba","Ami Koshimizu",22,21
"Minoru Inaba","Toshiyuki Toyonaga",23,21
"Minoru Inaba","Shintaro Tanaka",24,21
"Minoru Inaba","Atsushi Goto",25,21
"Minoru Inaba","Toshiyuki Morikawa",26,21
"Minoru Inaba","Kaito Ishikawa",27,21
"Minoru Inaba","Satomi Sato",28,21
"Minoru Inaba","Yu Kitada",29,21
"Minoru Inaba","Mitsuki Saiga",30,21
"Minoru Inaba","Kazuya Nakai",31,21
"Minoru Inaba","Nozomi Kameda",32,21
"Minoru Inaba","Makoto Awane",190,21
"Ami Koshimizu","Toshiyuki Toyonaga",23,22
"Ami Koshimizu","Shintaro Tanaka",24,22
"Ami Koshimizu","Atsushi Goto",25,22
"Ami Koshimizu","Toshiyuki Morikawa",26,22
"Ami Koshimizu","Kaito Ishikawa",27,22
"Ami Koshimizu","Satomi Sato",28,22
"Ami Koshimizu","Yu Kitada",29,22
"Ami Koshimizu","Mitsuki Saiga",30,22
"Ami Koshimizu","Kazuya Nakai",31,22
"Ami Koshimizu","Nozomi Kameda",32,22
"Ami Koshimizu","Makoto Awane",190,22
"Toshiyuki Toyonaga","Shintaro Tanaka",24,23
"Toshiyuki Toyonaga","Atsushi Goto",25,23
"Toshiyuki Toyonaga","Toshiyuki Morikawa",26,23
