"from","to","target","source"
"Tapsee Pannu","Anupam Kher",7,42
"Tapsee Pannu","Bharati Achrekar",40,42
"Tapsee Pannu","Varun Dhawan",43,42
"Tapsee Pannu","Lillete Dubey",41,42
"Tapsee Pannu","Ayaz Khan",44,42
"Tapsee Pannu","Ashish Verma",251,42
"Rishi Kapoor","Anupam Kher",7,35
"Rishi Kapoor","Bharati Achrekar",40,35
"Rishi Kapoor","Varun Dhawan",43,35
"Rishi Kapoor","Lillete Dubey",41,35
"Rishi Kapoor","Ayaz Khan",44,35
"Rishi Kapoor","Ashish Verma",251,35
"Anupam Kher","Bharati Achrekar",40,7
"Anupam Kher","Varun Dhawan",43,7
"Anupam Kher","Lillete Dubey",41,7
"Anupam Kher","Ayaz Khan",44,7
"Anupam Kher","Ashish Verma",251,7
"Bharati Achrekar","Varun Dhawan",43,40
"Bharati Achrekar","Lillete Dubey",41,40
"Bharati Achrekar","Ayaz Khan",44,40
"Bharati Achrekar","Ashish Verma",251,40
"Varun Dhawan","Lillete Dubey",41,43
"Varun Dhawan","Ayaz Khan",44,43
"Varun Dhawan","Ashish Verma",251,43
"Lillete Dubey","Ayaz Khan",44,41
"Lillete Dubey","Ashish Verma",251,41
"Ayaz Khan","Ashish Verma",251,44
"Aamir Khan","Madhuri Dixit",46,45
"Aamir Khan","Saeed Jaffrey",47,45
"Aamir Khan","Deven Verma",48,45
"Aamir Khan","Anupam Kher",7,45
"Aamir Khan","Shammi",49,45
"Aamir Khan","Padma Rani",50,45
"Aamir Khan","Rajesh Puri",51,45
"Aamir Khan","Satyendra Kapoor",252,45
"Madhuri Dixit","Saeed Jaffrey",47,46
"Madhuri Dixit","Deven Verma",48,46
"Madhuri Dixit","Anupam Kher",7,46
"Madhuri Dixit","Shammi",49,46
"Madhuri Dixit","Padma Rani",50,46
"Madhuri Dixit","Rajesh Puri",51,46
"Madhuri Dixit","Satyendra Kapoor",252,46
"Saeed Jaffrey","Deven Verma",48,47
"Saeed Jaffrey","Anupam Kher",7,47
"Saeed Jaffrey","Shammi",49,47
"Saeed Jaffrey","Padma Rani",50,47
"Saeed Jaffrey","Rajesh Puri",51,47
"Saeed Jaffrey","Satyendra Kapoor",252,47
"Deven Verma","Anupam Kher",7,48
"Deven Verma","Shammi",49,48
"Deven Verma","Padma Rani",50,48
"Deven Verma","Rajesh Puri",51,48
"Deven Verma","Satyendra Kapoor",252,48
"Anupam Kher","Shammi",49,7
"Anupam Kher","Padma Rani",50,7
"Anupam Kher","Rajesh Puri",51,7
"Anupam Kher","Satyendra Kapoor",252,7
"Shammi","Padma Rani",50,49
"Shammi","Rajesh Puri",51,49
"Shammi","Satyendra Kapoor",252,49
"Padma Rani","Rajesh Puri",51,50
"Padma Rani","Satyendra Kapoor",252,50
"Rajesh Puri","Satyendra Kapoor",252,51
"Abhishek Bachchan","Kangana Ranaut",53,52
"Abhishek Bachchan","Anupam Kher",7,52
"Abhishek Bachchan","Boman Irani",54,52
"Abhishek Bachchan","Jimmy Shergill",9,52
"Abhishek Bachchan","Shahana Goswami",55,52
"Abhishek Bachchan","Gauhar Khan",56,52
"Abhishek Bachchan","Sarah-Jane Dias",253,52
"Kangana Ranaut","Anupam Kher",7,53
"Kangana Ranaut","Boman Irani",54,53
"Kangana Ranaut","Jimmy Shergill",9,53
"Kangana Ranaut","Shahana Goswami",55,53
"Kangana Ranaut","Gauhar Khan",56,53
"Kangana Ranaut","Sarah-Jane Dias",253,53
"Anupam Kher","Boman Irani",54,7
"Anupam Kher","Jimmy Shergill",9,7
"Anupam Kher","Shahana Goswami",55,7
"Anupam Kher","Gauhar Khan",56,7
"Anupam Kher","Sarah-Jane Dias",253,7
"Boman Irani","Jimmy Shergill",9,54
"Boman Irani","Shahana Goswami",55,54
"Boman Irani","Gauhar Khan",56,54
"Boman Irani","Sarah-Jane Dias",253,54
"Jimmy Shergill","Shahana Goswami",55,9
"Jimmy Shergill","Gauhar Khan",56,9
"Jimmy Shergill","Sarah-Jane Dias",253,9
"Shahana Goswami","Gauhar Khan",56,55
"Shahana Goswami","Sarah-Jane Dias",253,55
"Gauhar Khan","Sarah-Jane Dias",253,56
"Imran Khan","Kareena Kapoor",58,57
"Imran Khan","Nizhalgal Ravi",59,57
"Imran Khan","Anupam Kher",7,57
"Imran Khan","Shraddha Kapoor",60,57
"Imran Khan","Esha Gupta",61,57
"Imran Khan","Sujata Kumar",62,57
"Imran Khan","Neelu Kohli",254,57
"Kareena Kapoor","Nizhalgal Ravi",59,58
"Kareena Kapoor","Anupam Kher",7,58
"Kareena Kapoor","Shraddha Kapoor",60,58
"Kareena Kapoor","Esha Gupta",61,58
"Kareena Kapoor","Sujata Kumar",62,58
"Kareena Kapoor","Neelu Kohli",254,58
"Nizhalgal Ravi","Anupam Kher",7,59
"Nizhalgal Ravi","Shraddha Kapoor",60,59
"Nizhalgal Ravi","Esha Gupta",61,59
"Nizhalgal Ravi","Sujata Kumar",62,59
"Nizhalgal Ravi","Neelu Kohli",254,59
"Anupam Kher","Shraddha Kapoor",60,7
"Anupam Kher","Esha Gupta",61,7
"Anupam Kher","Sujata Kumar",62,7
"Anupam Kher","Neelu Kohli",254,7
"Shraddha Kapoor","Esha Gupta",61,60
"Shraddha Kapoor","Sujata Kumar",62,60
"Shraddha Kapoor","Neelu Kohli",254,60
"Esha Gupta","Sujata Kumar",62,61
"Esha Gupta","Neelu Kohli",254,61
"Sujata Kumar","Neelu Kohli",254,62
"Sanjay Dutt","Sridevi",64,63
"Sanjay Dutt","Anupam Kher",7,63
"Sanjay Dutt","Rahul Roy",65,63
"Sanjay Dutt","Soni Razdan",66,63
"Sanjay Dutt","Reema Lagoo",67,63
"Sanjay Dutt","Kunika",68,63
"Sanjay Dutt","Tom Alter",69,63
"Sanjay Dutt","Bob Christo",70,63
"Sanjay Dutt","Anang Desai",255,63
