"from","to","target","source"
"Deepak Shirke","Vidya Balan",20,50
"Satyadeep Misra","Aakash Dabhade",52,51
"Satyadeep Misra","Nilesh Diwekar",53,51
"Satyadeep Misra","Vidya Balan",20,51
"Aakash Dabhade","Nilesh Diwekar",53,52
"Aakash Dabhade","Vidya Balan",20,52
"Nilesh Diwekar","Vidya Balan",20,53
"Nana Patekar","Raveena Tandon",8,54
"Nana Patekar","Paresh Rawal",5,54
"Nana Patekar","Aruna Irani",55,54
"Nana Patekar","Mohan Joshi",56,54
"Nana Patekar","Mohnish Bahl",57,54
"Nana Patekar","Shivaji Satham",58,54
"Nana Patekar","Vishwajeet Pradhan",59,54
"Nana Patekar","Ashwin Kaushal",60,54
"Nana Patekar","Satish Shah",118,54
"Raveena Tandon","Paresh Rawal",5,8
"Raveena Tandon","Aruna Irani",55,8
"Raveena Tandon","Mohan Joshi",56,8
"Raveena Tandon","Mohnish Bahl",57,8
"Raveena Tandon","Shivaji Satham",58,8
"Raveena Tandon","Vishwajeet Pradhan",59,8
"Raveena Tandon","Ashwin Kaushal",60,8
"Raveena Tandon","Satish Shah",118,8
"Paresh Rawal","Aruna Irani",55,5
"Paresh Rawal","Mohan Joshi",56,5
"Paresh Rawal","Mohnish Bahl",57,5
"Paresh Rawal","Shivaji Satham",58,5
"Paresh Rawal","Vishwajeet Pradhan",59,5
"Paresh Rawal","Ashwin Kaushal",60,5
"Paresh Rawal","Satish Shah",118,5
"Aruna Irani","Mohan Joshi",56,55
"Aruna Irani","Mohnish Bahl",57,55
"Aruna Irani","Shivaji Satham",58,55
"Aruna Irani","Vishwajeet Pradhan",59,55
"Aruna Irani","Ashwin Kaushal",60,55
"Aruna Irani","Satish Shah",118,55
"Mohan Joshi","Mohnish Bahl",57,56
"Mohan Joshi","Shivaji Satham",58,56
"Mohan Joshi","Vishwajeet Pradhan",59,56
"Mohan Joshi","Ashwin Kaushal",60,56
"Mohan Joshi","Satish Shah",118,56
"Mohnish Bahl","Shivaji Satham",58,57
"Mohnish Bahl","Vishwajeet Pradhan",59,57
"Mohnish Bahl","Ashwin Kaushal",60,57
"Mohnish Bahl","Satish Shah",118,57
"Shivaji Satham","Vishwajeet Pradhan",59,58
"Shivaji Satham","Ashwin Kaushal",60,58
"Shivaji Satham","Satish Shah",118,58
"Vishwajeet Pradhan","Ashwin Kaushal",60,59
"Vishwajeet Pradhan","Satish Shah",118,59
"Ashwin Kaushal","Satish Shah",118,60
"Ajay Devgn","Tusshar Kapoor",62,61
"Ajay Devgn","Arshad Warsi",63,61
"Ajay Devgn","Sharman Joshi",47,61
"Ajay Devgn","Paresh Rawal",5,61
"Ajay Devgn","Rimi Sen",64,61
"Ajay Devgn","Sushmita Mukherjee",65,61
"Ajay Devgn","Vrajesh Hirjee",163,61
"Tusshar Kapoor","Arshad Warsi",63,62
"Tusshar Kapoor","Sharman Joshi",47,62
"Tusshar Kapoor","Paresh Rawal",5,62
"Tusshar Kapoor","Rimi Sen",64,62
"Tusshar Kapoor","Sushmita Mukherjee",65,62
"Tusshar Kapoor","Vrajesh Hirjee",163,62
"Arshad Warsi","Sharman Joshi",47,63
"Arshad Warsi","Paresh Rawal",5,63
"Arshad Warsi","Rimi Sen",64,63
"Arshad Warsi","Sushmita Mukherjee",65,63
"Arshad Warsi","Vrajesh Hirjee",163,63
"Sharman Joshi","Paresh Rawal",5,47
"Sharman Joshi","Rimi Sen",64,47
"Sharman Joshi","Sushmita Mukherjee",65,47
"Sharman Joshi","Vrajesh Hirjee",163,47
"Paresh Rawal","Rimi Sen",64,5
"Paresh Rawal","Sushmita Mukherjee",65,5
"Paresh Rawal","Vrajesh Hirjee",163,5
"Rimi Sen","Sushmita Mukherjee",65,64
"Rimi Sen","Vrajesh Hirjee",163,64
"Sushmita Mukherjee","Vrajesh Hirjee",163,65
"Sanjay Dutt","Govinda",13,66
"Sanjay Dutt","Karisma Kapoor",9,66
"Sanjay Dutt","Pooja Batra",67,66
"Sanjay Dutt","Kader Khan",68,66
"Sanjay Dutt","Paresh Rawal",5,66
"Sanjay Dutt","Satish Kaushik",69,66
"Sanjay Dutt","Aruna Irani",55,66
"Sanjay Dutt","Anupam Kher",70,66
"Sanjay Dutt","Ashish Vidyarthi",71,66
"Sanjay Dutt","Aashif Sheikh",72,66
"Sanjay Dutt","Asrani",19,66
"Sanjay Dutt","Razak Khan",46,66
"Sanjay Dutt","Shakti Kapoor",73,66
"Sanjay Dutt","Bindu",74,66
"Sanjay Dutt","Mahavir Shah",75,66
"Sanjay Dutt","Mohan Joshi",56,66
"Sanjay Dutt","Anil Dhawan",164,66
"Govinda","Karisma Kapoor",9,13
"Govinda","Pooja Batra",67,13
"Govinda","Kader Khan",68,13
"Govinda","Paresh Rawal",5,13
"Govinda","Satish Kaushik",69,13
"Govinda","Aruna Irani",55,13
"Govinda","Anupam Kher",70,13
"Govinda","Ashish Vidyarthi",71,13
"Govinda","Aashif Sheikh",72,13
"Govinda","Asrani",19,13
"Govinda","Razak Khan",46,13
"Govinda","Shakti Kapoor",73,13
"Govinda","Bindu",74,13
"Govinda","Mahavir Shah",75,13
"Govinda","Mohan Joshi",56,13
"Govinda","Anil Dhawan",164,13
"Karisma Kapoor","Pooja Batra",67,9
"Karisma Kapoor","Kader Khan",68,9
"Karisma Kapoor","Paresh Rawal",5,9
"Karisma Kapoor","Satish Kaushik",69,9
"Karisma Kapoor","Aruna Irani",55,9
"Karisma Kapoor","Anupam Kher",70,9
"Karisma Kapoor","Ashish Vidyarthi",71,9
"Karisma Kapoor","Aashif Sheikh",72,9
"Karisma Kapoor","Asrani",19,9
"Karisma Kapoor","Razak Khan",46,9
"Karisma Kapoor","Shakti Kapoor",73,9
"Karisma Kapoor","Bindu",74,9
"Karisma Kapoor","Mahavir Shah",75,9
"Karisma Kapoor","Mohan Joshi",56,9
"Karisma Kapoor","Anil Dhawan",164,9
"Pooja Batra","Kader Khan",68,67
"Pooja Batra","Paresh Rawal",5,67
"Pooja Batra","Satish Kaushik",69,67
"Pooja Batra","Aruna Irani",55,67
"Pooja Batra","Anupam Kher",70,67
"Pooja Batra","Ashish Vidyarthi",71,67
"Pooja Batra","Aashif Sheikh",72,67
"Pooja Batra","Asrani",19,67
"Pooja Batra","Razak Khan",46,67
"Pooja Batra","Shakti Kapoor",73,67
"Pooja Batra","Bindu",74,67
"Pooja Batra","Mahavir Shah",75,67
"Pooja Batra","Mohan Joshi",56,67
"Pooja Batra","Anil Dhawan",164,67
"Kader Khan","Paresh Rawal",5,68
"Kader Khan","Satish Kaushik",69,68
"Kader Khan","Aruna Irani",55,68
"Kader Khan","Anupam Kher",70,68
"Kader Khan","Ashish Vidyarthi",71,68
"Kader Khan","Aashif Sheikh",72,68
"Kader Khan","Asrani",19,68
"Kader Khan","Razak Khan",46,68
"Kader Khan","Shakti Kapoor",73,68
"Kader Khan","Bindu",74,68
"Kader Khan","Mahavir Shah",75,68
"Kader Khan","Mohan Joshi",56,68
"Kader Khan","Anil Dhawan",164,68
"Paresh Rawal","Satish Kaushik",69,5
"Paresh Rawal","Aruna Irani",55,5
"Paresh Rawal","Anupam Kher",70,5
"Paresh Rawal","Ashish Vidyarthi",71,5
"Paresh Rawal","Aashif Sheikh",72,5
"Paresh Rawal","Asrani",19,5
"Paresh Rawal","Razak Khan",46,5
"Paresh Rawal","Shakti Kapoor",73,5
"Paresh Rawal","Bindu",74,5
"Paresh Rawal","Mahavir Shah",75,5
"Paresh Rawal","Mohan Joshi",56,5
"Paresh Rawal","Anil Dhawan",164,5
"Satish Kaushik","Aruna Irani",55,69
"Satish Kaushik","Anupam Kher",70,69
"Satish Kaushik","Ashish Vidyarthi",71,69
"Satish Kaushik","Aashif Sheikh",72,69
"Satish Kaushik","Asrani",19,69
"Satish Kaushik","Razak Khan",46,69
"Satish Kaushik","Shakti Kapoor",73,69
"Satish Kaushik","Bindu",74,69
"Satish Kaushik","Mahavir Shah",75,69
"Satish Kaushik","Mohan Joshi",56,69
"Satish Kaushik","Anil Dhawan",164,69
"Aruna Irani","Anupam Kher",70,55
"Aruna Irani","Ashish Vidyarthi",71,55
"Aruna Irani","Aashif Sheikh",72,55
"Aruna Irani","Asrani",19,55
"Aruna Irani","Razak Khan",46,55
"Aruna Irani","Shakti Kapoor",73,55
"Aruna Irani","Bindu",74,55
"Aruna Irani","Mahavir Shah",75,55
"Aruna Irani","Mohan Joshi",56,55
"Aruna Irani","Anil Dhawan",164,55
"Anupam Kher","Ashish Vidyarthi",71,70
"Anupam Kher","Aashif Sheikh",72,70
"Anupam Kher","Asrani",19,70
"Anupam Kher","Razak Khan",46,70
"Anupam Kher","Shakti Kapoor",73,70
"Anupam Kher","Bindu",74,70
"Anupam Kher","Mahavir Shah",75,70
"Anupam Kher","Mohan Joshi",56,70
"Anupam Kher","Anil Dhawan",164,70
"Ashish Vidyarthi","Aashif Sheikh",72,71
"Ashish Vidyarthi","Asrani",19,71
