"from","to","target","source"
"Varun Dhawan","Boman Irani",6,45
"Varun Dhawan","Johnny Lever",46,45
"Varun Dhawan","Varun Sharma",47,45
"Varun Dhawan","Sanjay Mishra",12,45
"Varun Dhawan","Vinod Khanna",48,45
"Varun Dhawan","Mukesh Tiwari",49,45
"Varun Dhawan","Pankaj Tripathi",50,45
"Varun Dhawan","Shawar Ali",170,45
"Boman Irani","Johnny Lever",46,6
"Boman Irani","Varun Sharma",47,6
"Boman Irani","Sanjay Mishra",12,6
"Boman Irani","Vinod Khanna",48,6
"Boman Irani","Mukesh Tiwari",49,6
"Boman Irani","Pankaj Tripathi",50,6
"Boman Irani","Shawar Ali",170,6
"Johnny Lever","Varun Sharma",47,46
"Johnny Lever","Sanjay Mishra",12,46
"Johnny Lever","Vinod Khanna",48,46
"Johnny Lever","Mukesh Tiwari",49,46
"Johnny Lever","Pankaj Tripathi",50,46
"Johnny Lever","Shawar Ali",170,46
"Varun Sharma","Sanjay Mishra",12,47
"Varun Sharma","Vinod Khanna",48,47
"Varun Sharma","Mukesh Tiwari",49,47
"Varun Sharma","Pankaj Tripathi",50,47
"Varun Sharma","Shawar Ali",170,47
"Sanjay Mishra","Vinod Khanna",48,12
"Sanjay Mishra","Mukesh Tiwari",49,12
"Sanjay Mishra","Pankaj Tripathi",50,12
"Sanjay Mishra","Shawar Ali",170,12
"Vinod Khanna","Mukesh Tiwari",49,48
"Vinod Khanna","Pankaj Tripathi",50,48
"Vinod Khanna","Shawar Ali",170,48
"Mukesh Tiwari","Pankaj Tripathi",50,49
"Mukesh Tiwari","Shawar Ali",170,49
"Pankaj Tripathi","Shawar Ali",170,50
"Shah Rukh Khan","Priyanka Chopra",9,41
"Shah Rukh Khan","Arjun Rampal",51,41
"Shah Rukh Khan","Isha Koppikar",25,41
"Shah Rukh Khan","Kareena Kapoor",2,41
"Shah Rukh Khan","Boman Irani",6,41
"Shah Rukh Khan","Om Puri",52,41
"Shah Rukh Khan","Pavan Malhotra",171,41
"Priyanka Chopra","Arjun Rampal",51,9
"Priyanka Chopra","Isha Koppikar",25,9
"Priyanka Chopra","Kareena Kapoor",2,9
"Priyanka Chopra","Boman Irani",6,9
"Priyanka Chopra","Om Puri",52,9
"Priyanka Chopra","Pavan Malhotra",171,9
"Arjun Rampal","Isha Koppikar",25,51
"Arjun Rampal","Kareena Kapoor",2,51
"Arjun Rampal","Boman Irani",6,51
"Arjun Rampal","Om Puri",52,51
"Arjun Rampal","Pavan Malhotra",171,51
"Isha Koppikar","Kareena Kapoor",2,25
"Isha Koppikar","Boman Irani",6,25
"Isha Koppikar","Om Puri",52,25
"Isha Koppikar","Pavan Malhotra",171,25
"Kareena Kapoor","Boman Irani",6,2
"Kareena Kapoor","Om Puri",52,2
"Kareena Kapoor","Pavan Malhotra",171,2
"Boman Irani","Om Puri",52,6
"Boman Irani","Pavan Malhotra",171,6
"Om Puri","Pavan Malhotra",171,52
"Shah Rukh Khan","Priyanka Chopra",9,41
"Shah Rukh Khan","Boman Irani",6,41
"Shah Rukh Khan","Lara Dutta",53,41
"Shah Rukh Khan","Kunal Kapoor",54,41
"Shah Rukh Khan","Om Puri",52,41
"Shah Rukh Khan","Alyy Khan",55,41
"Shah Rukh Khan","Nawab Shah",172,41
"Priyanka Chopra","Boman Irani",6,9
"Priyanka Chopra","Lara Dutta",53,9
"Priyanka Chopra","Kunal Kapoor",54,9
"Priyanka Chopra","Om Puri",52,9
"Priyanka Chopra","Alyy Khan",55,9
"Priyanka Chopra","Nawab Shah",172,9
"Boman Irani","Lara Dutta",53,6
"Boman Irani","Kunal Kapoor",54,6
"Boman Irani","Om Puri",52,6
"Boman Irani","Alyy Khan",55,6
"Boman Irani","Nawab Shah",172,6
"Lara Dutta","Kunal Kapoor",54,53
"Lara Dutta","Om Puri",52,53
"Lara Dutta","Alyy Khan",55,53
"Lara Dutta","Nawab Shah",172,53
"Kunal Kapoor","Om Puri",52,54
"Kunal Kapoor","Alyy Khan",55,54
"Kunal Kapoor","Nawab Shah",172,54
"Om Puri","Alyy Khan",55,52
"Om Puri","Nawab Shah",172,52
"Alyy Khan","Nawab Shah",172,55
"Abhishek Bachchan","John Abraham",34,8
"Abhishek Bachchan","Priyanka Chopra",9,8
"Abhishek Bachchan","Bobby Deol",56,8
"Abhishek Bachchan","Kiron Kher",57,8
"Abhishek Bachchan","Sushmita Mukherjee",58,8
"Abhishek Bachchan","Shrey Bawa",59,8
"Abhishek Bachchan","Boman Irani",6,8
"John Abraham","Priyanka Chopra",9,34
"John Abraham","Bobby Deol",56,34
"John Abraham","Kiron Kher",57,34
"John Abraham","Sushmita Mukherjee",58,34
"John Abraham","Shrey Bawa",59,34
"John Abraham","Boman Irani",6,34
"Priyanka Chopra","Bobby Deol",56,9
"Priyanka Chopra","Kiron Kher",57,9
"Priyanka Chopra","Sushmita Mukherjee",58,9
"Priyanka Chopra","Shrey Bawa",59,9
"Priyanka Chopra","Boman Irani",6,9
"Bobby Deol","Kiron Kher",57,56
"Bobby Deol","Sushmita Mukherjee",58,56
"Bobby Deol","Shrey Bawa",59,56
"Bobby Deol","Boman Irani",6,56
"Kiron Kher","Sushmita Mukherjee",58,57
"Kiron Kher","Shrey Bawa",59,57
"Kiron Kher","Boman Irani",6,57
"Sushmita Mukherjee","Shrey Bawa",59,58
"Sushmita Mukherjee","Boman Irani",6,58
"Shrey Bawa","Boman Irani",6,59
"Jacqueline Fernandez","Sushant Singh Rajput",61,60
"Jacqueline Fernandez","Boman Irani",6,60
"Jacqueline Fernandez","Pankaj Tripathi",50,60
"Jacqueline Fernandez","Vikramjeet Virk",62,60
"Jacqueline Fernandez","Sapna Pabbi",63,60
"Jacqueline Fernandez","Vibha Chhibber",64,60
"Jacqueline Fernandez","Kaustubh Kumar",173,60
"Sushant Singh Rajput","Boman Irani",6,61
"Sushant Singh Rajput","Pankaj Tripathi",50,61
"Sushant Singh Rajput","Vikramjeet Virk",62,61
"Sushant Singh Rajput","Sapna Pabbi",63,61
"Sushant Singh Rajput","Vibha Chhibber",64,61
"Sushant Singh Rajput","Kaustubh Kumar",173,61
"Boman Irani","Pankaj Tripathi",50,6
"Boman Irani","Vikramjeet Virk",62,6
"Boman Irani","Sapna Pabbi",63,6
"Boman Irani","Vibha Chhibber",64,6
"Boman Irani","Kaustubh Kumar",173,6
"Pankaj Tripathi","Vikramjeet Virk",62,50
"Pankaj Tripathi","Sapna Pabbi",63,50
"Pankaj Tripathi","Vibha Chhibber",64,50
"Pankaj Tripathi","Kaustubh Kumar",173,50
"Vikramjeet Virk","Sapna Pabbi",63,62
"Vikramjeet Virk","Vibha Chhibber",64,62
"Vikramjeet Virk","Kaustubh Kumar",173,62
"Sapna Pabbi","Vibha Chhibber",64,63
"Sapna Pabbi","Kaustubh Kumar",173,63
"Vibha Chhibber","Kaustubh Kumar",173,64
"Kareena Kapoor","Imran Khan",65,2
"Kareena Kapoor","Boman Irani",6,2
"Kareena Kapoor","Ram Kapoor",66,2
"Kareena Kapoor","Ratna Pathak Shah",67,2
"Kareena Kapoor","Zenobia Shroff",68,2
"Kareena Kapoor","Soniya Mehra",69,2
"Kareena Kapoor","Akshat Verma",70,2
"Kareena Kapoor","Dana Lewis",71,2
"Kareena Kapoor","Rajesh Khattar",174,2
"Imran Khan","Boman Irani",6,65
"Imran Khan","Ram Kapoor",66,65
"Imran Khan","Ratna Pathak Shah",67,65
"Imran Khan","Zenobia Shroff",68,65
"Imran Khan","Soniya Mehra",69,65
"Imran Khan","Akshat Verma",70,65
"Imran Khan","Dana Lewis",71,65
"Imran Khan","Rajesh Khattar",174,65
"Boman Irani","Ram Kapoor",66,6
"Boman Irani","Ratna Pathak Shah",67,6
"Boman Irani","Zenobia Shroff",68,6
"Boman Irani","Soniya Mehra",69,6
"Boman Irani","Akshat Verma",70,6
"Boman Irani","Dana Lewis",71,6
"Boman Irani","Rajesh Khattar",174,6
"Ram Kapoor","Ratna Pathak Shah",67,66
"Ram Kapoor","Zenobia Shroff",68,66
"Ram Kapoor","Soniya Mehra",69,66
"Ram Kapoor","Akshat Verma",70,66
"Ram Kapoor","Dana Lewis",71,66
"Ram Kapoor","Rajesh Khattar",174,66
"Ratna Pathak Shah","Zenobia Shroff",68,67
"Ratna Pathak Shah","Soniya Mehra",69,67
"Ratna Pathak Shah","Akshat Verma",70,67
"Ratna Pathak Shah","Dana Lewis",71,67
"Ratna Pathak Shah","Rajesh Khattar",174,67
"Zenobia Shroff","Soniya Mehra",69,68
"Zenobia Shroff","Akshat Verma",70,68
"Zenobia Shroff","Dana Lewis",71,68
"Zenobia Shroff","Rajesh Khattar",174,68
"Soniya Mehra","Akshat Verma",70,69
"Soniya Mehra","Dana Lewis",71,69
"Soniya Mehra","Rajesh Khattar",174,69
"Akshat Verma","Dana Lewis",71,70
"Akshat Verma","Rajesh Khattar",174,70
"Dana Lewis","Rajesh Khattar",174,71
"Sharman Joshi","Boman Irani",6,4
"Sharman Joshi","Ritwik Sahore",72,4
"Sharman Joshi","Paresh Rawal",73,4
"Sharman Joshi","Deepak Shirke",74,4
"Sharman Joshi","Satyadeep Misra",75,4
"Sharman Joshi","Aakash Dabhade",76,4
"Sharman Joshi","Nilesh Diwekar",77,4
"Sharman Joshi","Vidya Balan",175,4
"Boman Irani","Ritwik Sahore",72,6
"Boman Irani","Paresh Rawal",73,6
"Boman Irani","Deepak Shirke",74,6
"Boman Irani","Satyadeep Misra",75,6
"Boman Irani","Aakash Dabhade",76,6
"Boman Irani","Nilesh Diwekar",77,6
"Boman Irani","Vidya Balan",175,6
"Ritwik Sahore","Paresh Rawal",73,72
"Ritwik Sahore","Deepak Shirke",74,72
"Ritwik Sahore","Satyadeep Misra",75,72
"Ritwik Sahore","Aakash Dabhade",76,72
"Ritwik Sahore","Nilesh Diwekar",77,72
"Ritwik Sahore","Vidya Balan",175,72
"Paresh Rawal","Deepak Shirke",74,73
"Paresh Rawal","Satyadeep Misra",75,73
"Paresh Rawal","Aakash Dabhade",76,73
"Paresh Rawal","Nilesh Diwekar",77,73
"Paresh Rawal","Vidya Balan",175,73
"Deepak Shirke","Satyadeep Misra",75,74
"Deepak Shirke","Aakash Dabhade",76,74
"Deepak Shirke","Nilesh Diwekar",77,74
"Deepak Shirke","Vidya Balan",175,74
"Satyadeep Misra","Aakash Dabhade",76,75
"Satyadeep Misra","Nilesh Diwekar",77,75
"Satyadeep Misra","Vidya Balan",175,75
"Aakash Dabhade","Nilesh Diwekar",77,76
"Aakash Dabhade","Vidya Balan",175,76
"Nilesh Diwekar","Vidya Balan",175,77
"John Abraham","Sonakshi Sinha",78,34
"John Abraham","Tahir Raj Bhasin",79,34
"John Abraham","Narendra Jha",80,34
"John Abraham","Adil Hussain",81,34
"John Abraham","Vikram Kapadia",82,34
"John Abraham","Patricia Hittler",83,34
"John Abraham","Genelia D'souza",84,34
"John Abraham","Raj Babbar",85,34
"John Abraham","Freddy Daruwala",86,34
"John Abraham","Boman Irani",6,34
"Sonakshi Sinha","Tahir Raj Bhasin",79,78
"Sonakshi Sinha","Narendra Jha",80,78
"Sonakshi Sinha","Adil Hussain",81,78
"Sonakshi Sinha","Vikram Kapadia",82,78
"Sonakshi Sinha","Patricia Hittler",83,78
"Sonakshi Sinha","Genelia D'souza",84,78
"Sonakshi Sinha","Raj Babbar",85,78
"Sonakshi Sinha","Freddy Daruwala",86,78
"Sonakshi Sinha","Boman Irani",6,78
"Tahir Raj Bhasin","Narendra Jha",80,79
"Tahir Raj Bhasin","Adil Hussain",81,79
"Tahir Raj Bhasin","Vikram Kapadia",82,79
"Tahir Raj Bhasin","Patricia Hittler",83,79
"Tahir Raj Bhasin","Genelia D'souza",84,79
"Tahir Raj Bhasin","Raj Babbar",85,79
"Tahir Raj Bhasin","Freddy Daruwala",86,79
"Tahir Raj Bhasin","Boman Irani",6,79
"Narendra Jha","Adil Hussain",81,80
"Narendra Jha","Vikram Kapadia",82,80
"Narendra Jha","Patricia Hittler",83,80
"Narendra Jha","Genelia D'souza",84,80
"Narendra Jha","Raj Babbar",85,80
"Narendra Jha","Freddy Daruwala",86,80
"Narendra Jha","Boman Irani",6,80
"Adil Hussain","Vikram Kapadia",82,81
"Adil Hussain","Patricia Hittler",83,81
"Adil Hussain","Genelia D'souza",84,81
"Adil Hussain","Raj Babbar",85,81
"Adil Hussain","Freddy Daruwala",86,81
"Adil Hussain","Boman Irani",6,81
"Vikram Kapadia","Patricia Hittler",83,82
"Vikram Kapadia","Genelia D'souza",84,82
"Vikram Kapadia","Raj Babbar",85,82
"Vikram Kapadia","Freddy Daruwala",86,82
"Vikram Kapadia","Boman Irani",6,82
"Patricia Hittler","Genelia D'souza",84,83
"Patricia Hittler","Raj Babbar",85,83
"Patricia Hittler","Freddy Daruwala",86,83
"Patricia Hittler","Boman Irani",6,83
"Genelia D'souza","Raj Babbar",85,84
"Genelia D'souza","Freddy Daruwala",86,84
"Genelia D'souza","Boman Irani",6,84
"Raj Babbar","Freddy Daruwala",86,85
"Raj Babbar","Boman Irani",6,85
"Freddy Daruwala","Boman Irani",6,86
"Abhishek Bachchan","Kangana Ranaut",87,8
"Abhishek Bachchan","Anupam Kher",88,8
"Abhishek Bachchan","Boman Irani",6,8
"Abhishek Bachchan","Jimmy Shergill",89,8
"Abhishek Bachchan","Shahana Goswami",90,8
"Abhishek Bachchan","Gauhar Khan",91,8
"Abhishek Bachchan","Sarah-Jane Dias",176,8
"Kangana Ranaut","Anupam Kher",88,87
"Kangana Ranaut","Boman Irani",6,87
"Kangana Ranaut","Jimmy Shergill",89,87
"Kangana Ranaut","Shahana Goswami",90,87
"Kangana Ranaut","Gauhar Khan",91,87
"Kangana Ranaut","Sarah-Jane Dias",176,87
"Anupam Kher","Boman Irani",6,88
"Anupam Kher","Jimmy Shergill",89,88
"Anupam Kher","Shahana Goswami",90,88
"Anupam Kher","Gauhar Khan",91,88
"Anupam Kher","Sarah-Jane Dias",176,88
"Boman Irani","Jimmy Shergill",89,6
"Boman Irani","Shahana Goswami",90,6
"Boman Irani","Gauhar Khan",91,6
"Boman Irani","Sarah-Jane Dias",176,6
"Jimmy Shergill","Shahana Goswami",90,89
"Jimmy Shergill","Gauhar Khan",91,89
"Jimmy Shergill","Sarah-Jane Dias",176,89
"Shahana Goswami","Gauhar Khan",91,90
"Shahana Goswami","Sarah-Jane Dias",176,90
"Gauhar Khan","Sarah-Jane Dias",176,91
"Shah Rukh Khan","Deepika Padukone",92,41
"Shah Rukh Khan","Abhishek Bachchan",8,41
"Shah Rukh Khan","Sonu Sood",93,41
"Shah Rukh Khan","Boman Irani",6,41
"Shah Rukh Khan","Vivaan Shah",177,41
"Deepika Padukone","Abhishek Bachchan",8,92
"Deepika Padukone","Sonu Sood",93,92
"Deepika Padukone","Boman Irani",6,92
"Deepika Padukone","Vivaan Shah",177,92
"Abhishek Bachchan","Sonu Sood",93,8
"Abhishek Bachchan","Boman Irani",6,8
"Abhishek Bachchan","Vivaan Shah",177,8
"Sonu Sood","Boman Irani",6,93
"Sonu Sood","Vivaan Shah",177,93
"Boman Irani","Vivaan Shah",177,6
"Shabana Azmi","Boman Irani",6,94
"Shabana Azmi","Abhay Deol",95,94
"Shabana Azmi","Minissha Lamba",96,94
"Shabana Azmi","Kay Kay Menon",97,94
"Shabana Azmi","Raima Sen",98,94
"Shabana Azmi","Sandhya Mridul",99,94
