"from","to","target","source"
"Ira Dubey","Kunal Kapoor",44,38
"Ira Dubey","Angad Bedi",45,38
"Ira Dubey","Ali Zafar",46,38
"Ira Dubey","Aditya Roy Kapoor",193,38
"Yashaswini Dayama","Gautmik",40,39
"Yashaswini Dayama","Raj Bhansali",41,39
"Yashaswini Dayama","Rohit Saraf",42,39
"Yashaswini Dayama","Atul Kale",43,39
"Yashaswini Dayama","Kunal Kapoor",44,39
"Yashaswini Dayama","Angad Bedi",45,39
"Yashaswini Dayama","Ali Zafar",46,39
"Yashaswini Dayama","Aditya Roy Kapoor",193,39
"Gautmik","Raj Bhansali",41,40
"Gautmik","Rohit Saraf",42,40
"Gautmik","Atul Kale",43,40
"Gautmik","Kunal Kapoor",44,40
"Gautmik","Angad Bedi",45,40
"Gautmik","Ali Zafar",46,40
"Gautmik","Aditya Roy Kapoor",193,40
"Raj Bhansali","Rohit Saraf",42,41
"Raj Bhansali","Atul Kale",43,41
"Raj Bhansali","Kunal Kapoor",44,41
"Raj Bhansali","Angad Bedi",45,41
"Raj Bhansali","Ali Zafar",46,41
"Raj Bhansali","Aditya Roy Kapoor",193,41
"Rohit Saraf","Atul Kale",43,42
"Rohit Saraf","Kunal Kapoor",44,42
"Rohit Saraf","Angad Bedi",45,42
"Rohit Saraf","Ali Zafar",46,42
"Rohit Saraf","Aditya Roy Kapoor",193,42
"Atul Kale","Kunal Kapoor",44,43
"Atul Kale","Angad Bedi",45,43
"Atul Kale","Ali Zafar",46,43
"Atul Kale","Aditya Roy Kapoor",193,43
"Kunal Kapoor","Angad Bedi",45,44
"Kunal Kapoor","Ali Zafar",46,44
"Kunal Kapoor","Aditya Roy Kapoor",193,44
"Angad Bedi","Ali Zafar",46,45
"Angad Bedi","Aditya Roy Kapoor",193,45
"Ali Zafar","Aditya Roy Kapoor",193,46
"Shah Rukh Khan","Manisha Koirala",47,1
"Shah Rukh Khan","Preity Zinta",48,1
"Shah Rukh Khan","Raghuvir Yadav",49,1
"Shah Rukh Khan","Zohra Sehgal",50,1
"Shah Rukh Khan","Sabyasachi Chakraborty",51,1
"Shah Rukh Khan","Piyush Mishra",52,1
"Shah Rukh Khan","Krishnakant",53,1
"Shah Rukh Khan","Aditya Srivastava",194,1
"Manisha Koirala","Preity Zinta",48,47
"Manisha Koirala","Raghuvir Yadav",49,47
"Manisha Koirala","Zohra Sehgal",50,47
"Manisha Koirala","Sabyasachi Chakraborty",51,47
"Manisha Koirala","Piyush Mishra",52,47
"Manisha Koirala","Krishnakant",53,47
"Manisha Koirala","Aditya Srivastava",194,47
"Preity Zinta","Raghuvir Yadav",49,48
"Preity Zinta","Zohra Sehgal",50,48
"Preity Zinta","Sabyasachi Chakraborty",51,48
"Preity Zinta","Piyush Mishra",52,48
"Preity Zinta","Krishnakant",53,48
"Preity Zinta","Aditya Srivastava",194,48
"Raghuvir Yadav","Zohra Sehgal",50,49
"Raghuvir Yadav","Sabyasachi Chakraborty",51,49
"Raghuvir Yadav","Piyush Mishra",52,49
"Raghuvir Yadav","Krishnakant",53,49
"Raghuvir Yadav","Aditya Srivastava",194,49
"Zohra Sehgal","Sabyasachi Chakraborty",51,50
"Zohra Sehgal","Piyush Mishra",52,50
"Zohra Sehgal","Krishnakant",53,50
"Zohra Sehgal","Aditya Srivastava",194,50
"Sabyasachi Chakraborty","Piyush Mishra",52,51
"Sabyasachi Chakraborty","Krishnakant",53,51
"Sabyasachi Chakraborty","Aditya Srivastava",194,51
"Piyush Mishra","Krishnakant",53,52
"Piyush Mishra","Aditya Srivastava",194,52
"Krishnakant","Aditya Srivastava",194,53
"Shah Rukh Khan","Kajol",54,1
"Shah Rukh Khan","Kriti Sanon",55,1
"Shah Rukh Khan","Kabir Bedi",56,1
"Shah Rukh Khan","Varun Dhawan",57,1
"Shah Rukh Khan","Boman Irani",58,1
"Shah Rukh Khan","Johnny Lever",59,1
"Shah Rukh Khan","Varun Sharma",60,1
"Shah Rukh Khan","Sanjay Mishra",61,1
"Shah Rukh Khan","Vinod Khanna",62,1
"Shah Rukh Khan","Mukesh Tiwari",63,1
"Shah Rukh Khan","Pankaj Tripathi",64,1
"Shah Rukh Khan","Shawar Ali",195,1
"Kajol","Kriti Sanon",55,54
"Kajol","Kabir Bedi",56,54
"Kajol","Varun Dhawan",57,54
"Kajol","Boman Irani",58,54
"Kajol","Johnny Lever",59,54
"Kajol","Varun Sharma",60,54
"Kajol","Sanjay Mishra",61,54
"Kajol","Vinod Khanna",62,54
"Kajol","Mukesh Tiwari",63,54
"Kajol","Pankaj Tripathi",64,54
"Kajol","Shawar Ali",195,54
"Kriti Sanon","Kabir Bedi",56,55
"Kriti Sanon","Varun Dhawan",57,55
"Kriti Sanon","Boman Irani",58,55
"Kriti Sanon","Johnny Lever",59,55
"Kriti Sanon","Varun Sharma",60,55
"Kriti Sanon","Sanjay Mishra",61,55
"Kriti Sanon","Vinod Khanna",62,55
"Kriti Sanon","Mukesh Tiwari",63,55
"Kriti Sanon","Pankaj Tripathi",64,55
"Kriti Sanon","Shawar Ali",195,55
"Kabir Bedi","Varun Dhawan",57,56
"Kabir Bedi","Boman Irani",58,56
"Kabir Bedi","Johnny Lever",59,56
"Kabir Bedi","Varun Sharma",60,56
"Kabir Bedi","Sanjay Mishra",61,56
"Kabir Bedi","Vinod Khanna",62,56
"Kabir Bedi","Mukesh Tiwari",63,56
"Kabir Bedi","Pankaj Tripathi",64,56
"Kabir Bedi","Shawar Ali",195,56
"Varun Dhawan","Boman Irani",58,57
"Varun Dhawan","Johnny Lever",59,57
"Varun Dhawan","Varun Sharma",60,57
"Varun Dhawan","Sanjay Mishra",61,57
"Varun Dhawan","Vinod Khanna",62,57
"Varun Dhawan","Mukesh Tiwari",63,57
"Varun Dhawan","Pankaj Tripathi",64,57
