"from","to","target","source"
"Kareena Kapoor","Om Puri",3,24
"Kareena Kapoor","Diya Mirza",59,24
"Kareena Kapoor","Vivek Oberoi",60,24
"Kareena Kapoor","Kulbhushan Kharbanda",52,24
"Kareena Kapoor","Kiron Kher",4,24
"Kareena Kapoor","Rupinder Nagra",61,24
"Kareena Kapoor","Nauheed Cyrusi",173,24
"Saif Ali Khan","Om Puri",3,58
"Saif Ali Khan","Diya Mirza",59,58
"Saif Ali Khan","Vivek Oberoi",60,58
"Saif Ali Khan","Kulbhushan Kharbanda",52,58
"Saif Ali Khan","Kiron Kher",4,58
"Saif Ali Khan","Rupinder Nagra",61,58
"Saif Ali Khan","Nauheed Cyrusi",173,58
"Om Puri","Diya Mirza",59,3
"Om Puri","Vivek Oberoi",60,3
"Om Puri","Kulbhushan Kharbanda",52,3
"Om Puri","Kiron Kher",4,3
"Om Puri","Rupinder Nagra",61,3
"Om Puri","Nauheed Cyrusi",173,3
"Diya Mirza","Vivek Oberoi",60,59
"Diya Mirza","Kulbhushan Kharbanda",52,59
"Diya Mirza","Kiron Kher",4,59
"Diya Mirza","Rupinder Nagra",61,59
"Diya Mirza","Nauheed Cyrusi",173,59
"Vivek Oberoi","Kulbhushan Kharbanda",52,60
"Vivek Oberoi","Kiron Kher",4,60
"Vivek Oberoi","Rupinder Nagra",61,60
"Vivek Oberoi","Nauheed Cyrusi",173,60
"Kulbhushan Kharbanda","Kiron Kher",4,52
"Kulbhushan Kharbanda","Rupinder Nagra",61,52
"Kulbhushan Kharbanda","Nauheed Cyrusi",173,52
"Kiron Kher","Rupinder Nagra",61,4
"Kiron Kher","Nauheed Cyrusi",173,4
"Rupinder Nagra","Nauheed Cyrusi",173,61
"Aishwarya Rai Bachchan","Vivek Oberoi",60,2
"Aishwarya Rai Bachchan","Amitabh Bachchan",62,2
"Aishwarya Rai Bachchan","Om Puri",3,2
"Aishwarya Rai Bachchan","Rati Agnihotri",63,2
"Aishwarya Rai Bachchan","Sunil Shetty",25,2
"Aishwarya Rai Bachchan","Tinnu Anand",64,2
"Aishwarya Rai Bachchan","Rahul Singh",174,2
"Vivek Oberoi","Amitabh Bachchan",62,60
"Vivek Oberoi","Om Puri",3,60
"Vivek Oberoi","Rati Agnihotri",63,60
"Vivek Oberoi","Sunil Shetty",25,60
"Vivek Oberoi","Tinnu Anand",64,60
"Vivek Oberoi","Rahul Singh",174,60
"Amitabh Bachchan","Om Puri",3,62
"Amitabh Bachchan","Rati Agnihotri",63,62
"Amitabh Bachchan","Sunil Shetty",25,62
"Amitabh Bachchan","Tinnu Anand",64,62
"Amitabh Bachchan","Rahul Singh",174,62
"Om Puri","Rati Agnihotri",63,3
"Om Puri","Sunil Shetty",25,3
"Om Puri","Tinnu Anand",64,3
"Om Puri","Rahul Singh",174,3
"Rati Agnihotri","Sunil Shetty",25,63
"Rati Agnihotri","Tinnu Anand",64,63
"Rati Agnihotri","Rahul Singh",174,63
"Sunil Shetty","Tinnu Anand",64,25
"Sunil Shetty","Rahul Singh",174,25
"Tinnu Anand","Rahul Singh",174,64
"Amitabh Bachchan","Hrithik Roshan",65,62
"Amitabh Bachchan","Preity Zinta",66,62
"Amitabh Bachchan","Om Puri",3,62
"Amitabh Bachchan","Sharad Kapoor",67,62
"Amitabh Bachchan","Rajendranath Zutshi",68,62
"Amitabh Bachchan","Sushant Singh",69,62
"Amitabh Bachchan","Prashant Chainani",70,62
"Amitabh Bachchan","Shakeel Khan",71,62
"Amitabh Bachchan","Ranvir Shorey",175,62
"Hrithik Roshan","Preity Zinta",66,65
"Hrithik Roshan","Om Puri",3,65
"Hrithik Roshan","Sharad Kapoor",67,65
"Hrithik Roshan","Rajendranath Zutshi",68,65
"Hrithik Roshan","Sushant Singh",69,65
"Hrithik Roshan","Prashant Chainani",70,65
"Hrithik Roshan","Shakeel Khan",71,65
"Hrithik Roshan","Ranvir Shorey",175,65
"Preity Zinta","Om Puri",3,66
"Preity Zinta","Sharad Kapoor",67,66
"Preity Zinta","Rajendranath Zutshi",68,66
"Preity Zinta","Sushant Singh",69,66
"Preity Zinta","Prashant Chainani",70,66
"Preity Zinta","Shakeel Khan",71,66
"Preity Zinta","Ranvir Shorey",175,66
"Om Puri","Sharad Kapoor",67,3
"Om Puri","Rajendranath Zutshi",68,3
"Om Puri","Sushant Singh",69,3
"Om Puri","Prashant Chainani",70,3
"Om Puri","Shakeel Khan",71,3
"Om Puri","Ranvir Shorey",175,3
"Sharad Kapoor","Rajendranath Zutshi",68,67
"Sharad Kapoor","Sushant Singh",69,67
"Sharad Kapoor","Prashant Chainani",70,67
"Sharad Kapoor","Shakeel Khan",71,67
"Sharad Kapoor","Ranvir Shorey",175,67
"Rajendranath Zutshi","Sushant Singh",69,68
"Rajendranath Zutshi","Prashant Chainani",70,68
"Rajendranath Zutshi","Shakeel Khan",71,68
"Rajendranath Zutshi","Ranvir Shorey",175,68
"Sushant Singh","Prashant Chainani",70,69
"Sushant Singh","Shakeel Khan",71,69
"Sushant Singh","Ranvir Shorey",175,69
"Prashant Chainani","Shakeel Khan",71,70
"Prashant Chainani","Ranvir Shorey",175,70
"Shakeel Khan","Ranvir Shorey",175,71
"Shabana Azmi","Smita Patil",73,72
"Shabana Azmi","Naseeruddin Shah",74,72
"Shabana Azmi","Amrish Puri",50,72
"Shabana Azmi","Kulbhushan Kharbanda",52,72
"Shabana Azmi","Saeed Jaffrey",75,72
"Shabana Azmi","Om Puri",3,72
"Shabana Azmi","Sreela Mazumdar",76,72
"Shabana Azmi","Neena Gupta",176,72
"Smita Patil","Naseeruddin Shah",74,73
"Smita Patil","Amrish Puri",50,73
"Smita Patil","Kulbhushan Kharbanda",52,73
"Smita Patil","Saeed Jaffrey",75,73
"Smita Patil","Om Puri",3,73
"Smita Patil","Sreela Mazumdar",76,73
"Smita Patil","Neena Gupta",176,73
"Naseeruddin Shah","Amrish Puri",50,74
"Naseeruddin Shah","Kulbhushan Kharbanda",52,74
"Naseeruddin Shah","Saeed Jaffrey",75,74
"Naseeruddin Shah","Om Puri",3,74
"Naseeruddin Shah","Sreela Mazumdar",76,74
"Naseeruddin Shah","Neena Gupta",176,74
"Amrish Puri","Kulbhushan Kharbanda",52,50
"Amrish Puri","Saeed Jaffrey",75,50
"Amrish Puri","Om Puri",3,50
"Amrish Puri","Sreela Mazumdar",76,50
"Amrish Puri","Neena Gupta",176,50
"Kulbhushan Kharbanda","Saeed Jaffrey",75,52
"Kulbhushan Kharbanda","Om Puri",3,52
"Kulbhushan Kharbanda","Sreela Mazumdar",76,52
"Kulbhushan Kharbanda","Neena Gupta",176,52
"Saeed Jaffrey","Om Puri",3,75
"Saeed Jaffrey","Sreela Mazumdar",76,75
"Saeed Jaffrey","Neena Gupta",176,75
"Om Puri","Sreela Mazumdar",76,3
"Om Puri","Neena Gupta",176,3
"Sreela Mazumdar","Neena Gupta",176,76
"Harshvardhan Kapoor","Saiyami Kher",78,77
"Harshvardhan Kapoor","Anuj Choudhry",79,77
"Harshvardhan Kapoor","Art Malik",80,77
"Harshvardhan Kapoor","Om Puri",3,77
"Harshvardhan Kapoor","K.K. Raina",81,77
"Harshvardhan Kapoor","Anjali Patil",177,77
"Saiyami Kher","Anuj Choudhry",79,78
"Saiyami Kher","Art Malik",80,78
"Saiyami Kher","Om Puri",3,78
"Saiyami Kher","K.K. Raina",81,78
"Saiyami Kher","Anjali Patil",177,78
"Anuj Choudhry","Art Malik",80,79
"Anuj Choudhry","Om Puri",3,79
"Anuj Choudhry","K.K. Raina",81,79
"Anuj Choudhry","Anjali Patil",177,79
"Art Malik","Om Puri",3,80
"Art Malik","K.K. Raina",81,80
"Art Malik","Anjali Patil",177,80
"Om Puri","K.K. Raina",81,3
"Om Puri","Anjali Patil",177,3
"K.K. Raina","Anjali Patil",177,81
"Akshay Kumar","Paresh Rawal",26,1
"Akshay Kumar","Mithun Chakraborty",35,1
"Akshay Kumar","Om Puri",3,1
"Akshay Kumar","Apoorva Arora",82,1
"Akshay Kumar","Arun Bali",83,1
"Akshay Kumar","Honey Chaaya",84,1
"Akshay Kumar","Poonam Jhawer",85,1
"Akshay Kumar","Mahesh Manjrekar",86,1
"Akshay Kumar","Govind Namdeo",100,1
"Paresh Rawal","Mithun Chakraborty",35,26
"Paresh Rawal","Om Puri",3,26
"Paresh Rawal","Apoorva Arora",82,26
"Paresh Rawal","Arun Bali",83,26
"Paresh Rawal","Honey Chaaya",84,26
"Paresh Rawal","Poonam Jhawer",85,26
"Paresh Rawal","Mahesh Manjrekar",86,26
"Paresh Rawal","Govind Namdeo",100,26
"Mithun Chakraborty","Om Puri",3,35
"Mithun Chakraborty","Apoorva Arora",82,35
"Mithun Chakraborty","Arun Bali",83,35
"Mithun Chakraborty","Honey Chaaya",84,35
"Mithun Chakraborty","Poonam Jhawer",85,35
"Mithun Chakraborty","Mahesh Manjrekar",86,35
"Mithun Chakraborty","Govind Namdeo",100,35
"Om Puri","Apoorva Arora",82,3
"Om Puri","Arun Bali",83,3
"Om Puri","Honey Chaaya",84,3
"Om Puri","Poonam Jhawer",85,3
"Om Puri","Mahesh Manjrekar",86,3
"Om Puri","Govind Namdeo",100,3
"Apoorva Arora","Arun Bali",83,82
"Apoorva Arora","Honey Chaaya",84,82
"Apoorva Arora","Poonam Jhawer",85,82
"Apoorva Arora","Mahesh Manjrekar",86,82
"Apoorva Arora","Govind Namdeo",100,82
"Arun Bali","Honey Chaaya",84,83
"Arun Bali","Poonam Jhawer",85,83
"Arun Bali","Mahesh Manjrekar",86,83
"Arun Bali","Govind Namdeo",100,83
"Honey Chaaya","Poonam Jhawer",85,84
"Honey Chaaya","Mahesh Manjrekar",86,84
"Honey Chaaya","Govind Namdeo",100,84
"Poonam Jhawer","Mahesh Manjrekar",86,85
"Poonam Jhawer","Govind Namdeo",100,85
"Mahesh Manjrekar","Govind Namdeo",100,86
"Sanjay Dutt","Nandita Das",88,87
"Sanjay Dutt","Om Puri",3,87
"Sanjay Dutt","Jackie Shroff",89,87
"Sanjay Dutt","Mita Vashisht",90,87
"Sanjay Dutt","Sachin Khedekar",91,87
"Sanjay Dutt","Anjan Srivastav",92,87
"Sanjay Dutt","Dinesh Anand",93,87
"Sanjay Dutt","Mink Singh",94,87
"Sanjay Dutt","Siddharth",107,87
"Nandita Das","Om Puri",3,88
"Nandita Das","Jackie Shroff",89,88
"Nandita Das","Mita Vashisht",90,88
"Nandita Das","Sachin Khedekar",91,88
"Nandita Das","Anjan Srivastav",92,88
"Nandita Das","Dinesh Anand",93,88
"Nandita Das","Mink Singh",94,88
"Nandita Das","Siddharth",107,88
"Om Puri","Jackie Shroff",89,3
"Om Puri","Mita Vashisht",90,3
"Om Puri","Sachin Khedekar",91,3
"Om Puri","Anjan Srivastav",92,3
