"from","to","target","source"
"Naseeruddin Shah","Tara Deshpande",58,1
"Naseeruddin Shah","Akash Khurana",59,1
"Naseeruddin Shah","Ratna Pathak Shah",60,1
"Naseeruddin Shah","Dilip Prabhavalkar",61,1
"Naseeruddin Shah","Avtar Gill",40,1
"Tara Deshpande","Akash Khurana",59,58
"Tara Deshpande","Ratna Pathak Shah",60,58
"Tara Deshpande","Dilip Prabhavalkar",61,58
"Tara Deshpande","Avtar Gill",40,58
"Akash Khurana","Ratna Pathak Shah",60,59
"Akash Khurana","Dilip Prabhavalkar",61,59
"Akash Khurana","Avtar Gill",40,59
"Ratna Pathak Shah","Dilip Prabhavalkar",61,60
"Ratna Pathak Shah","Avtar Gill",40,60
"Dilip Prabhavalkar","Avtar Gill",40,61
"Naseeruddin Shah","Kabir Sajid",62,1
"Naseeruddin Shah","Sonali Kulkarni",63,1
"Naseeruddin Shah","Amir Bashir",64,1
"Naseeruddin Shah","Naveen Kasturia",65,1
"Naseeruddin Shah","Neha Chauhan",66,1
"Naseeruddin Shah","Virti Vaghani",166,1
"Kabir Sajid","Sonali Kulkarni",63,62
"Kabir Sajid","Amir Bashir",64,62
"Kabir Sajid","Naveen Kasturia",65,62
"Kabir Sajid","Neha Chauhan",66,62
"Kabir Sajid","Virti Vaghani",166,62
"Sonali Kulkarni","Amir Bashir",64,63
"Sonali Kulkarni","Naveen Kasturia",65,63
"Sonali Kulkarni","Neha Chauhan",66,63
"Sonali Kulkarni","Virti Vaghani",166,63
"Amir Bashir","Naveen Kasturia",65,64
"Amir Bashir","Neha Chauhan",66,64
"Amir Bashir","Virti Vaghani",166,64
"Naveen Kasturia","Neha Chauhan",66,65
"Naveen Kasturia","Virti Vaghani",166,65
"Neha Chauhan","Virti Vaghani",166,66
"Shreyas Talpade","Naseeruddin Shah",1,67
"Shreyas Talpade","Girish Karnad",68,67
"Shreyas Talpade","Shweta Prasad",69,67
"Shreyas Talpade","Yatin Karyekar",70,67
"Shreyas Talpade","Prateeksha Lonkar",71,67
"Shreyas Talpade","Dilip Salgaonkar",72,67
"Shreyas Talpade","Jyoti Joshi",73,67
"Shreyas Talpade","Aadarsh Balakrishna",74,67
"Shreyas Talpade","Gururaj Manepalli",167,67
"Naseeruddin Shah","Girish Karnad",68,1
"Naseeruddin Shah","Shweta Prasad",69,1
"Naseeruddin Shah","Yatin Karyekar",70,1
"Naseeruddin Shah","Prateeksha Lonkar",71,1
"Naseeruddin Shah","Dilip Salgaonkar",72,1
"Naseeruddin Shah","Jyoti Joshi",73,1
"Naseeruddin Shah","Aadarsh Balakrishna",74,1
"Naseeruddin Shah","Gururaj Manepalli",167,1
"Girish Karnad","Shweta Prasad",69,68
"Girish Karnad","Yatin Karyekar",70,68
"Girish Karnad","Prateeksha Lonkar",71,68
"Girish Karnad","Dilip Salgaonkar",72,68
"Girish Karnad","Jyoti Joshi",73,68
"Girish Karnad","Aadarsh Balakrishna",74,68
"Girish Karnad","Gururaj Manepalli",167,68
"Shweta Prasad","Yatin Karyekar",70,69
"Shweta Prasad","Prateeksha Lonkar",71,69
"Shweta Prasad","Dilip Salgaonkar",72,69
"Shweta Prasad","Jyoti Joshi",73,69
"Shweta Prasad","Aadarsh Balakrishna",74,69
"Shweta Prasad","Gururaj Manepalli",167,69
"Yatin Karyekar","Prateeksha Lonkar",71,70
"Yatin Karyekar","Dilip Salgaonkar",72,70
"Yatin Karyekar","Jyoti Joshi",73,70
"Yatin Karyekar","Aadarsh Balakrishna",74,70
"Yatin Karyekar","Gururaj Manepalli",167,70
"Prateeksha Lonkar","Dilip Salgaonkar",72,71
"Prateeksha Lonkar","Jyoti Joshi",73,71
"Prateeksha Lonkar","Aadarsh Balakrishna",74,71
"Prateeksha Lonkar","Gururaj Manepalli",167,71
"Dilip Salgaonkar","Jyoti Joshi",73,72
"Dilip Salgaonkar","Aadarsh Balakrishna",74,72
"Dilip Salgaonkar","Gururaj Manepalli",167,72
"Jyoti Joshi","Aadarsh Balakrishna",74,73
